club_name,club_logo
Napoli,https://d2p3bygnnzw9w3.cloudfront.net/req/202109021/tlogo/fb/d48ad4ff.png
AC Milan,https://d2p3bygnnzw9w3.cloudfront.net/req/202109021/tlogo/fb/dc56fe14.png
Paris Saint Germain,https://d2p3bygnnzw9w3.cloudfront.net/req/202109021/tlogo/fb/e2d8892c.png
Bayern Munich,https://d2p3bygnnzw9w3.cloudfront.net/req/202109021/tlogo/fb/054efa67.png
Chelsea,https://d2p3bygnnzw9w3.cloudfront.net/req/202109021/tlogo/fb/cff3d9bb.png
Liverpool,https://d2p3bygnnzw9w3.cloudfront.net/req/202109021/tlogo/fb/822bd0ba.png
Borussia Dortmund,https://d2p3bygnnzw9w3.cloudfront.net/req/202109021/tlogo/fb/add600ae.png
Manchester City,https://d2p3bygnnzw9w3.cloudfront.net/req/202109021/tlogo/fb/b8fd03ef.png
Real Madrid,https://d2p3bygnnzw9w3.cloudfront.net/req/202109021/tlogo/fb/53a2f082.png
Sevilla,https://d2p3bygnnzw9w3.cloudfront.net/req/202109021/tlogo/fb/ad2be733.png
Freiburg,https://d2p3bygnnzw9w3.cloudfront.net/req/202109021/tlogo/fb/a486e511.png
Real Sociedad,https://d2p3bygnnzw9w3.cloudfront.net/req/202109021/tlogo/fb/e31d1cd9.png
Nice,https://d2p3bygnnzw9w3.cloudfront.net/req/202109021/tlogo/fb/132ebc33.png
Inter,https://d2p3bygnnzw9w3.cloudfront.net/req/202109021/tlogo/fb/d609edc0.png
Atlético Madrid,https://d2p3bygnnzw9w3.cloudfront.net/req/202109021/tlogo/fb/db3b9613.png
Lens,https://d2p3bygnnzw9w3.cloudfront.net/req/202109021/tlogo/fb/fd4e0f7d.png
Bayer Leverkusen,https://d2p3bygnnzw9w3.cloudfront.net/req/202109021/tlogo/fb/c7a9f859.png
West Ham,https://d2p3bygnnzw9w3.cloudfront.net/req/202109021/tlogo/fb/7c21e445.png
Marseille,https://d2p3bygnnzw9w3.cloudfront.net/req/202109021/tlogo/fb/5725cc7b.png
Real Betis,https://d2p3bygnnzw9w3.cloudfront.net/req/202109021/tlogo/fb/fc536746.png
Osasuna,https://d2p3bygnnzw9w3.cloudfront.net/req/202109021/tlogo/fb/03c57e2b.png
Roma,https://d2p3bygnnzw9w3.cloudfront.net/req/202109021/tlogo/fb/cf74a709.png
Athletic Club,https://d2p3bygnnzw9w3.cloudfront.net/req/202109021/tlogo/fb/2b390eca.png
Union Berlin,https://d2p3bygnnzw9w3.cloudfront.net/req/202109021/tlogo/fb/7a41008f.png
Barcelona,https://d2p3bygnnzw9w3.cloudfront.net/req/202109021/tlogo/fb/206d90db.png
Atalanta,https://d2p3bygnnzw9w3.cloudfront.net/req/202109021/tlogo/fb/922493f3.png
Juventus,https://d2p3bygnnzw9w3.cloudfront.net/req/202109021/tlogo/fb/e0652b02.png
Fiorentina,https://d2p3bygnnzw9w3.cloudfront.net/req/202109021/tlogo/fb/421387cf.png
